linha_csv;demandante;situacao;motivo;plano;numero_item;classe;valor_total;descricao
669;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;345;7210;24175.0;Equipamentos e acessórios para imagens TELEVISÃO, medindo no mínimo 55 POLEGADAS | 449052
673;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;346;4240;9000.0;"CAIXA DE TRANSPORTE MODULAR. Tipo caixa pallet ""case"" rígido, com dimensões de aproximadamente 100cm x 120cm x 90cm, estanque para proteção e organização de ferramentas e equipamentos | 449052"
674;DIREN;publicado com pendência;unidade_fornecimento_ausente;170394;347;9290;151600.0;Contratação de empresa para execução de serviço comum de capacitação em licitações internacionais com base na lei 14.133/21 | 339039
675;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;348;4120;27088.71;Aparelhos e central de ar condicionado AR-CONDICIONADO | 449052
679;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;349;4240;50000.0;COLCHONETE ISOLANTE TÉRMICO CAMPING. Resistente, isolante térmico, pequeno volume quando acondicionado, inflável ou autoinflável | 449052
681;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;350;4120;131912.0;Aparelhos e central de ar condicionado AR CONDICIONADO | 449052
685;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;351;8110;5500.0;BOMBONA DE ÁGUA. Capacidade de 240L. Reservatório para higienização e suporte na base de operações | 339030
686;COMAP;publicado com pendência;unidade_fornecimento_ausente;170394;352;8715;500000.0;Contrato de Manutenção de Centrais de Ar Gelado | 339039
687;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;353;2320;120000.0;"Veículos diversos Veículo tipo hatch, 4 portas, cor branca com adesivos e grafismo padrão SSPDF; tipo de combustível: flex, Air bag duplo mínimo, transmissão manual ou superior, Direção elétrica/hidráulica ou ambas, vidros e travas elétricas | 449052"
691;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;354;9321;282993.0;CONTRATAÇÃO DE SERVIÇO TERCEIRIZADO DE TRATADOR DE CÃES, LIMPEZA E CONSERVAÇÃO DE CANIL. Contratação de empresa para execução de serviços de manejo, tratamento, higienização e conservação do canil, incluindo cuidados diários com os cães | 339039
692;COMAV;publicado com pendência;unidade_fornecimento_ausente;170394;355;8729;2500000.0;PRESTAÇÃO DE SERVIÇOS de 1° e 2° NIVEIS DE MANUTENÇÃO | 339039
693;GPCIV;publicado com pendência;unidade_fornecimento_ausente;170394;356;9905;500.0;Painel estrutura em metalon 20x20x18, pintada na cor zarcão para instalação de banner com impressão digital fosca, na | 339030
694;DIREN;publicado com pendência;unidade_fornecimento_ausente;170394;357;9290;6000.0;Diagramação da Revista Institucional Promptus | 339039
695;DITIC;publicado com pendência;unidade_fornecimento_ausente;170394;358;8422;280000.0;Adesão de link exclusivo para ensino e pesquisa, ciência e tecnologia | 339039
700;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;360;6505;6000.0;SHAMPOO CONDICIONADOR PARA CÃES. Produto de uso veterinário destinado à higiene e condicionamento da pelagem de cães, com formulação sem sal e adequado para uso frequente | 339030
701;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;361;5680;580.0;Ferramentas em geral MANGUEIRA | 339030
705;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;362;6530;1050.0;COMEDOURO PARA CÃES. Tipo pesado, alumínio pólido, 3 L | 449052
706;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;363;5680;723.6;Ferramentas em geral SERROTE | 339030
710;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;364;8110;900.0;BOMBONA TR 50 LITROS. Bombona TR 50 Litros nova com tampa removível. Ideal para armazenamento de grãos e ração. Fabricada com matéria reciclável em polietileno | 339030
711;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;365;4130;268506.3;Aparelhos eletrodomésticos em geral e mobília REFRIGERADOR | 449052
715;GBS;publicado com pendência;unidade_fornecimento_ausente,mes_ausente;170394;366;6530;80.0;LANTERNA CLÍNICA. Lanterna clínica para uso em procedimentos de diagnóstico, confeccionada em plástico, com acionamento por botão liga/desliga e lâmpada própria para avaliação clínica. Deve possuir iluminação mínima de 2,2 V | 449052
716;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;367;4110;4231.68;Aparelhos eletrodomésticos em geral e boneca CLIMATIZADOR DE AR ​​Frio c/Ionizador 220V, 9,00 kg, Comprimento: 37,0 cm, Largura: 32,0 cm, Altura: 74,0 cm, Resfriamento, Ventilação | 449052
720;DIMAT;publicado com pendência;unidade_fornecimento_ausente;170394;368;7310;3498.6;Aparelhos eletrodomésticos em geral e roupa FRITADEIRA ELÉTRICA SEM ÓLEO (AIRFRYER) | 449052
