GND,DESCRIÇÃO GND,CÓD CLASSE CATMAT/CATSER,DEMANDANTE,CLASSE,DESCRIÇÃO DO OBJETO,MÊS PRETENDIDO PARA A ENTREGA DA CONTRATAÇÃO,QUANTIDADE,VALOR UNITÁRIO,VALOR TOTAL,VALOR DE PRIORIDADE DEMANDANTE,PRIORIDADE DO DEMANDANTE,PRIORIDADE DA ÁREA TÉCNICA,CÓDIGO GND,,
33903948,SERVICO DE SELECAO E TREINAMENTO,9290,DIREN,SERVIÇO - OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO - OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO,DRONESHOW 2027,JUNHO,3,4000,"R$ 12.000,00",7,102º,,,,
33903022,MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO,7920,DIMAT,"MATERIAL - EQUIPAMENTOS E MATERIAIS PARA LIMPEZA - VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES","(ID 29345) - Artigos e utensílios para limpeza LIXEIRA - Lixeira basculante, 100 litros, 75 cm de largura x 85 cm de altura, com 30 cm de profundidade. Cor: a escolher.",AGOSTO,16,"R$ 191,13","R$ 3.058,08",12,103º,,,,
44905208,"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.",6530,PODON,"MATERIAL - EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO - MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E SUPRIMENTOS HOSPITALARES","(ID 44103) GORRO DESCARTÁVEL, descrição: Material polipropileno tecido não tecido (TNT). Cor: branco. Gramatura 50G/m2. Características adicionais: antialérgico, costurado e com elástico super-resistente para ajuste atrás da cabeça (nuca). Regular na ANVISA. Validade: 75% do prazo total de validade do produto. Forma de apresentação/ Fornecimento: Embalagem com 10 unidades. Unidade de Estoque: embalagem (EMB). Medida: Embalagem",FEVEREIRO,555,20,"R$ 11.100,00",1,103º,,,,
44905208,"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.",6530,POMED,"MATERIAL - EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO - MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E SUPRIMENTOS HOSPITALARES","(ID 44405) PINÇA HARTMANN JACARÉ 9 cm, Descrição: Modelo 1 Jacaré, Formato Ponta: Ponta Reta, Tipo Ponta: Serrilhada, Haste: Haste Angulada, Comprimento Total: 09 CM, Componente: S/ Cremalheira, Material: Aço Inoxidável e Esterilidade: Esterilizável. Medida: Unidade",JANEIRO,8,"292,41","R$ 2.339,28",2,103º,,,,
44905208,"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.",6530,GAEPH,"MATERIAL - EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO - MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E SUPRIMENTOS HOSPITALARES","Instrumental e utensílios para uso em hospitais e ambulatórios, LANTERNA CLÍNICA PARA AVALIAÇÃO PUPILAR, Aplicação: exame neurológico e avaliação do reflexo fotomotor, Material: corpo em alumínio ou material resistente de alta durabilidade, Fonte de Luz: LED de alta intensidade, Alimentação: pilhas ou bateria, Características Adicionais: portátil, leve e de fácil higienização, Unidade de fornecimento: unidade.",DEZEMBRO,187,28,"R$ 5.236,00",80,103º,,,,
44905208,"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.",6530,GBS,"MATERIAL - EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO - MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E SUPRIMENTOS HOSPITALARES","TORNIQUETE CANINO. Porta Torniquete preto + Torniquete K9 projetado para anatomia cônica (perna do K9), com tecnologia de tração integrada que evita deslizamento; aplicação rápida.",,2,400,"R$ 800,00",76,103º,,,,
44905238,"MAQ., FERRAMENTAS E UTENSILIOS DE OFICINA",4920,COMAV,MATERIAL - EQUIPAMENTOS PARA OFICINAS DE MANUTENÇÃO E REPAROS - EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E REPA-RO DE AERONAVES,"Bancada de inspeção e reparo com tampo em aço inoxidável, gavetas e tomadas elétricas integradas",MARÇO,3,6500,"R$ 19.500,00",74,103º,,,,
33903948,SERVICO DE SELECAO E TREINAMENTO,9290,DIREN,SERVIÇO - OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO - OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO,tep wildfire - Raciocínio Operacional para Bombeiros Florestais,DEZEMBRO,4,894,"R$ 3.576,00",7,103º,,,,
33903022,MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO,7920,DIMAT,"MATERIAL - EQUIPAMENTOS E MATERIAIS PARA LIMPEZA - VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES","(ID 33120) - Artigos e utensílios para limpeza VASSOURA ESCOVA MULTIUSO, ESFREGÃO MASTER COM CABO - Cerdas de nylon, não risca e com espuma entre a base e as cerdas para reter shampoo. Utilizado para Para limpeza de ônibus e caminhões, Linha profissional. Medida: 6 cm x 9 cm x 30 cm e cabo: 160 a 200 cm",AGOSTO,4,"R$ 25,00","R$ 100,00",12,104º,,,,
44905208,"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.",6530,PODON,"MATERIAL - EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO - MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E SUPRIMENTOS HOSPITALARES","(ID 44943) CANETA, Descrição: Permite a identificação escrita diretamente na embalagem de papel grau cirúrgico ponta 0,75mm, para uso CME. Tinta resistente à umidade e processos de esterilização. Indicação para identificação em etiquetas, fitas e papel grau cirúrgico. Escrita precisa com ponta fina. Disponível nas cores (preto e vermelho). Para rastreabilidade de materiais esterilizados. Secagem rápida, evita borrões. Produto alinhado às boas práticas de biossegurança. Medida: Unidade",FEVEREIRO,10,80,"R$ 800,00",1,104º,,,,
44905208,"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.",6530,POMED,"MATERIAL - EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO - MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E SUPRIMENTOS HOSPITALARES","(ID 44407) ESTILETE PORTA ALGODÃO, Descrição: Modelo P/ Algodão, Tipo Ponta: Ponta Reta, Haste: Haste Reta, Comprimento Total: 28 CM, Material: Aço Inoxidável, Esterilidade: Esterilizável. Medida: Unidade",JANEIRO,9,"56,07","R$ 504,63",2,104º,,,,
44905208,"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.",6530,GAEPH,"MATERIAL - EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO - MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E SUPRIMENTOS HOSPITALARES","Seringa descartável de 1 mL, estéril, com ou sem agulha, destinada à administração de medicamentos e procedimentos. (pacote com 12unid)",JUNHO,12,30,"R$ 360,00",80,104º,,,,
33903022,MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO,7920,GBS,"MATERIAL - EQUIPAMENTOS E MATERIAIS PARA LIMPEZA - VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES","SAQUINHO HIGIÊNICO COLETOR DE FEZES. Acessório destinado à coleta higiênica de dejetos caninos, indicado para uso em canis, áreas operacionais e atividades externas. Deve ser resistente, prático para manuseio e adequado para descarte seguro dos resíduos, contribuindo para a limpeza, a higiene e a sanidade do ambiente. Demais especificações conforme termo de referência.",,200,30,"R$ 6.000,00",76,104º,,,,
44905238,"MAQ., FERRAMENTAS E UTENSILIOS DE OFICINA",4920,COMAV,MATERIAL - EQUIPAMENTOS PARA OFICINAS DE MANUTENÇÃO E REPAROS - EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E REPA-RO DE AERONAVES,Bancada antiestática (ESD) para serviços em componentes aviônicos e eletrônicos,MARÇO,2,7500,"R$ 15.000,00",74,104º,,,,
33903948,SERVICO DE SELECAO E TREINAMENTO,9290,DIREN,SERVIÇO - OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO - OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO,MBA Gestão de Projetos com IA - IBMEC,AGOSTO,2,"12549,04","R$ 25.098,08",7,104º,,,,
33903022,MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO,7930,DIMAT,MATERIAL - EQUIPAMENTOS E MATERIAIS PARA LIMPEZA - COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO,"(ID 33809) - Produtos químicos para limpeza SILICONE GEL AUTOMOTIVO perfumado, de uso profissional, desenvolvido tecnicamente para revitalizar painel, plásticos, para choque, frisos e materiais sintéticos. Proteção e brilho, ação contra o ressecamento ocasionado pelo tempo proporcionando proteção e brilho. Capacidade de não acumular poeira e sujeira e não deixar aspecto gorduroso. Fragrância suave. unidade de fornecimento: balde de 1 kg",AGOSTO,10,"R$ 30,00","R$ 300,00",12,105º,,,,
33903035,MATERIAL LABORATORIAL,6640,PODON,MATERIAL - INSTRUMENTOS E EQUIPAMENTOS DE LABORATÓRIO - EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO,"(ID 11310) Luva de procedimento, descrição: confeccionado em nitrilo, não estéril, para uso não cirúrgico, tipo ambidestra, com punhos curtos, descartável, sem pó, branca, tamanho: grande, unidade de fornecimento: caixa com 100 unidades. Medida: Caixa",FEVEREIRO,60,"34,53","R$ 2.071,80",1,105º,,,,
